Description,
Detects a user’s login state in LWR Experience on the client side. Set during login to LWR Experience. Never set this cookie to HttpOnly.,Détecte l’état de connexion d’un utilisateur dans LWR Experience côté client. Défini lors de la connexion à LWR Experience. Ne définissez jamais ce cookie sur HttpOnly.
"In Salesforce Classic, used to configure layout properties for the Draft Articles view in Article Management.","Dans Salesforce Classic, utilisé pour configurer les propriétés de mise en page pour la vue Brouillon d'articles dans la gestion des articles."
"In Salesforce Classic, used to configure layout properties for 'Archived Articles' in Article Management.","Dans Salesforce Classic, utilisé pour configurer les propriétés de mise en page des « Articles archivés » dans la gestion des articles."
"In Salesforce Classic, used to configure layout properties for 'Draft Articles' assigned to 'Me' in Article Management.","Dans Salesforce Classic, utilisé pour configurer les propriétés de mise en page des « Articles brouillons » attribués à « Moi » dans la gestion des articles."
"In Salesforce Classic, used to configure layout properties for 'Draft Translations' in Article Management.","Dans Salesforce Classic, utilisé pour configurer les propriétés de mise en page pour les « Traductions brouillon » dans la gestion des articles."
"In Salesforce Classic, used to configure layout properties for 'Published Articles' in Article Management.","Dans Salesforce Classic, utilisé pour configurer les propriétés de mise en page des « Articles publiés » dans la gestion des articles."
"In Salesforce Classic, used to configure layout properties for 'Published Translations' in Article Management.","Dans Salesforce Classic, utilisé pour configurer les propriétés de mise en page pour les « Traductions publiées » dans la gestion des articles."
Identifies a Live Agent session. Stores a unique pseudonymous ID for a specific browser session over chat service.,Identifie une session Live Agent. Stocke un identifiant pseudonyme unique pour une session de navigateur spécifique via le service de chat.
Browser Fingerprint cookie. Used to detect session security problems.,Cookie d’empreinte digitale du navigateur. Utilisé pour détecter les problèmes de sécurité de session.
Browser Fingerprint trigger cookie. Used to detect session security problems.,Cookie de déclenchement d’empreinte digitale du navigateur. Utilisé pour détecter les problèmes de sécurité de session.
Caches contact IDs associated with email addresses.,Met en cache les identifiants de contact associés aux adresses e-mail.
Identify a unique browser subscribed to CometD streaming channels.,Identifiez un navigateur unique abonné aux chaînes de streaming CometD.
Used for security protections.,Utilisé pour les protections de sécurité.
Used for security protections.,Utilisé pour les protections de sécurité.
Used for security protections.,Utilisé pour les protections de sécurité.
Cookie set to tie the ideas to a specific Experience Cloud site.,Cookie défini pour lier les idées à un site Experience Cloud spécifique.
"Used to apply end-user cookie consent preferences. Stores a Boolean for whether user has consented to the cookie policy options offered by the site. Without this cookie, customers would not be able collect consent from their end users.","Utilisé pour appliquer les préférences de consentement des utilisateurs finaux en matière de cookies. Stocke un booléen indiquant si l'utilisateur a consenti aux options de politique en matière de cookies proposées par le site. Sans ce cookie, les clients ne pourraient pas recueillir le consentement de leurs utilisateurs finaux."
